id,name,street,zip_code,city
DHL Paketshop 719,Kiosk Kumar,Vorgebirgstr. 108,50969,Köln
DHL Paketshop 449,PC-Profi,Bonner Wall 25,50677,Köln
Packstation 252,Zollstock Arkaden,Vorgebirgstr. 116,50969,Köln
Packstation 207,LIDL Markt,Bonner Wall 114-116,50677,Köln
Packstation 404,LIDL Markt,Bonner Wall 114-116,50677,Köln
Postfiliale 646,Lotto Familie Lee,Vorgebirgstr. 165,50969,Köln
Packstation 139,McDonald's,Koblenzer Str. 2-4,50968,Köln
DHL Paketshop 606,Kiosk Koca,Gottesweg 20,50969,Köln
DHL Paketshop 610,REWE Markt GmbH,Höninger Weg 185,50969,Köln
DHL Paketshop 692,Kiosk Sahin,Höninger Weg 243,50969,Köln
DHL Paketshop 635,Kiosk Zugweg,Zugweg 8,50677,Köln
DHL Paketshop 601,REWE Markt GmbH,Bonner Str. 211,50968,Köln
Postfiliale 511,Zigarren Günther,Merowingerstr. 21,50677,Köln
DHL Paketshop ,Fahrrad Reinen,Bonner Str. 244,50968,Köln
Postbank Filiale 539,N/A,Kartäuserwall 7-17,50678,Köln
Packstation 164,ESSO Tankstelle,Höninger Weg 12-14,50969,Köln
Packstation 230,Aldi Markt,Rhöndorfer Str. 2,50939,Köln
Packstation 264,"REWE Markt, rechts vom Eingan",Rhöndorfer Str. 19,50939,Köln
Postfiliale 702,,Zollstockgürtel 21,50969,Köln
Packstation 296,NETTO Markt,Rhöndorfer Str. 4,50939,Köln
Packstation 209,LIDL Markt,Rhöndorfer Str. 12,50939,Köln
Packstation 402,,Karlheinz-Steimel-Weg 19,50969,Köln
DHL Paketshop 496,Kiosk Südkurve,Severinstr. 50,50678,Köln
Packstation 195,"real Markt, Zugang zur Tiefga",Weißhausstr. 30,50939,Köln
Packstation 172,Aral Tankstelle,Zollstockgürtel 39,50969,Köln
DHL Paketshop 432,Copyshop Goltstein 68,Goltsteinstr. 68,50968,Köln
DHL Paketshop 409,REWE Markt GmbH,Severinstr. 93-95,50678,Köln
DHL Paketshop 663,1Euro Kiosk Sonbahar,Salierring 3,50677,Köln
Postbank Filiale 555,N/A,Bonner Str. 351,50968,Köln
DHL Paketshop 630,Kiosk Em Veedel,Severinstr. 97,50678,Köln
DHL Paketshop 487,toom Baumarkt GmbH,Neuer Weyerstraßerweg 2,50969,Köln
Packstation 120,"Ecke Dreikönigenstr., Grundsc",Zwirnerstr. 15-17,50678,Köln
Packstation 191,ALDI Markt,Neuer Weyerstraßerweg 3,50969,Köln
Packstation 287,24h-Bereich,Bonner Str. 351,50968,Köln
DHL Paketshop 608,REWE Markt GmbH,Bonner Str. 350,50968,Köln
Packstation 265,REWE Markt,Bonner Str. 350,50968,Köln
DHL Paketshop 831,Kiosk Husch &amp; Röhrig GbR,Markusstr. 53,50968,Köln
Postfiliale 460,Uni Market Kiosk,Luxemburger Str. 124-136,50939,Köln
DHL Paketshop 483,REWE Markt GmbH,Goltsteinstr. 91,50968,Köln
DHL Paketshop 703,Atelier Sam Änderungsschneiderei,Luxemburger Str. 182,50937,Köln
DHL Paketshop 406,Moody's Smartstore e.K.,Salierring 26a,50677,Köln
Packstation 169,,Goltsteinstr. 91,50968,Köln
Packstation 238,"app-gesteuerte Packstation, S",Brühler Str. 223,50968,Köln
Postfiliale 653,Bet and Lottery 161 UG,Severinstr. 161-163,50678,Köln
Packstation 119,"Bahnhof Süd, Zugang zu den Gl",Otto-Fischer-Str. 2,50674,Köln
Packstation 295,"REWE Markt, im Markt neben de",Salierring 47-53,50677,Köln
Postfiliale 693,Kiosk Bülbül,Luxemburger Str. 285c,50939,Köln
Packstation 274,REWE Markt,Luxemburger Str. 299,50939,Köln
DHL Paketshop 437,Sülzer Drugstore,Berrenrather Str. 161,50937,Köln
Packstation 202,neben Carsharing-Parkplätzen,Mengelbergstr. 2,50676,Köln
DHL Paketshop 468,REWE Markt GmbH,Luxemburger Str. 299,50939,Köln
DHL Paketshop 589,Aladin,Kyffhäuserstr. 21,50674,Köln
Postfiliale 763,Lotto Chug,Hohenstaufenring 2,50674,Köln
DHL Paketshop 463,XK Convenience GmbH,Severinstr. 214,50676,Köln
DHL Paketshop 453,Lotto Kiosk Schahwan Kalaf,Berrenrather Str. 236,50939,Köln
Packstation 118,Uni-Mensa,Zülpicher Str. 70,50937,Köln
Postfiliale 554,,Berrenrather Str. 315,50937,Köln
Postfiliale 495,"Schreibwaren, Post und mehr",Sülzgürtel 32,50937,Köln
Postfiliale 565,,Roonstr. 40-42,50674,Köln
Postfiliale ,Kölner Visa Zentrum,Bayardsgasse 3,50676,Köln
Postfiliale 566,OM Spielbox,Hohe Pforte 4-6,50676,Köln
DHL Paketshop 410,Kiosk Karaduman,Mathiasstr. 24-26,50676,Köln
DHL Paketshop 671,Kiosk am Park,Luxemburger Str. 427,50939,Köln
DHL Paketshop 476,Mauritius Getränke Markt,Mauritiussteinweg 86-88,50676,Köln
DHL Paketshop 668,Büdchen Casablanca,Sülzburgstr. 164,50937,Köln
DHL Paketshop 633,Tante Olga,Berrenrather Str. 406,50937,Köln
Packstation 117,"Universitäts-Mensa, Zahnklini",Robert-Koch-Str. 10,50931,Köln
Postfiliale 757,Lotto Stephan,Zülpicher Str. 296,50937,Köln
Packstation 146,ALDI Markt,Poller Kirchweg 76,51105,Köln
DHL Paketshop 418,PATTEVUGEL GmbH,Zülpicher Str. 314,50937,Köln
DHL Paketshop 447,Kiosk Singh,Am Rinkenpfuhl 55,50676,Köln
DHL Paketshop 651,Machado-Schumacher GmbH,Neumarkt 1,50667,Köln
DHL Paketshop 427,REWE Markt GmbH,Händelstr. 15,50674,Köln
DHL Paketshop 464,Yakups Kiosk,Gerolsteiner Str. 125,50937,Köln
Postfiliale 564,OM Schreibwaren,Händelstr. 37,50674,Köln
Packstation 171,,Ludwigstr. 1,50667,Köln
Packstation 165,ARAL Tankstelle,Am Verteilerkreis ,50968,Köln
DHL Paketshop 689,Kiosk Mila II,Zülpicher Str. 357,50935,Köln
DHL Paketshop 577,Sandy Lederatelier,Salomonsgasse 8-10,50667,Köln
DHL Paketshop 718,Kremers Nascherlebnis,Lintgasse 5,50667,Köln
Postfiliale 510,,Siegburger Str. 357,51105,Köln
DHL Paketshop 402,REWE Markt GmbH,Hohenzollernring 20,50672,Köln
DHL Paketshop 485,Kiosk am Rhein,Buttermarkt 40,50667,Köln
Postfiliale 766,Kiosk Absolut,Alte Wallgasse 2a,50672,Köln
