id,name,street,zip_code,city
DHL Paketshop 461wettiner platz 1001067dresden,wochenkurier,wettiner platz 10,01067,dresden
DHL Paketshop 448friedrichstr. 701067dresden,rewe stefan lamke ohg,friedrichstr. 7,01067,dresden
Packstation 190löbtauer str. 2601159dresden,lidl markt,löbtauer str. 26,01159,dresden
Postfiliale 502schweriner str. 3601067dresden,toreg hardcopy & service,schweriner str. 36,01067,dresden
DHL Paketshop 699schweriner str. 1201067dresden,rewe markt stefan lamke ohg,schweriner str. 12,01067,dresden
Packstation 103falkenstr. 1001067dresden,gagfah,falkenstr. 10,01067,dresden
Postbank Filiale 501antonsplatz 101067dresden,N/A,antonsplatz 1,01067,dresden
Paketbox leipziger str. 201097dresden,,leipziger str. 2,01097,dresden
Packstation 182budapester str. 26a01069dresden,lidl markt,budapester str. 26a,01069,dresden
Postfiliale 648prager str. 1201069dresden,tabak & co.-im karstadt,prager str. 12,01069,dresden
DHL Paketshop 499heinrichstr. 601097dresden,historica antiquariat,heinrichstr. 6,01097,dresden
DHL Paketshop 543leipziger str. 3101097dresden,karadesch market,leipziger str. 31,01097,dresden
Postfiliale 408hauptstr. 2801097dresden,box presseshop,hauptstr. 28,01097,dresden
Postfiliale 558kesselsdorfer str. 101159dresden,rewe markt,kesselsdorfer str. 1,01159,dresden
Packstation 137leubnitzer str. 801069dresden,konsum markt,leubnitzer str. 8,01069,dresden
Postbank Filiale 514gröbelstr. 1201159dresden,N/A,gröbelstr. 12,01159,dresden
Paketbox gröbelstr. 1201159dresden,,gröbelstr. 12,01159,dresden
Postfiliale 637metzer str. 101097dresden,k kiosk,metzer str. 1,01097,dresden
DHL Paketshop 635prager str. 2a01069dresden,blumen gärtnerei tran thi huong,prager str. 2a,01069,dresden
Packstation 132schlesischer platz 101097dresden,"bf dresden-neustadt, schließf",schlesischer platz 1,01097,dresden
Packstation 147kesselsdorfer str. 24b01159dresden,"rewe markt, im hof",kesselsdorfer str. 24b,01159,dresden
Postfiliale 535weimarische str. 701127dresden,greenbeer head- und spätshop,weimarische str. 7,01127,dresden
Packstation 108friedrich-list-platz 201069dresden,gegenüber hauptbahnhof,friedrich-list-platz 2,01069,dresden
Packstation 230hamburger str. 4401067dresden,total tankstelle,hamburger str. 44,01067,dresden
Postfiliale 868reisewitzer str. 3101159dresden,wäsche-boutique,reisewitzer str. 31,01159,dresden
Postfiliale 510kesselsdorfer str. 3201159dresden,box - lts presseshops,kesselsdorfer str. 32,01159,dresden
Postfiliale 466antonstr. 2a01097dresden,cigo,antonstr. 2a,01097,dresden
DHL Paketshop rudolfstr. 401097dresden,elektrogeräte & zubehör neumann,rudolfstr. 4,01097,dresden
DHL Paketshop 440lindengasse 1801069dresden,monsator hausgeräte dresden gmbh,lindengasse 18,01069,dresden
Packstation 152chemnitzer str. 2801187dresden,"aldi markt, parkplatz",chemnitzer str. 28,01187,dresden
DHL Paketshop 727moritzburger str. 5301127dresden,tape-connection,moritzburger str. 53,01127,dresden
Postfiliale gerichtsstr. 101069dresden,florizz,gerichtsstr. 1,01069,dresden
Packstation 131raimundstr. 101157dresden,,raimundstr. 1,01157,dresden
Postbank Filiale 503königsbrücker str. 21-2901099dresden,N/A,königsbrücker str. 21-29,01099,dresden
Packstation 107tharandter str. 41a01159dresden,netto marken-discount,tharandter str. 41a,01159,dresden
Packstation 189hansastr. 5001097dresden,lidl markt,hansastr. 50,01097,dresden
Packstation 136tharandter str. 4001159dresden,aldi markt,tharandter str. 40,01159,dresden
Paketbox nürnberger str. 3101187dresden,,nürnberger str. 31,01187,dresden
Postfiliale 668carrierastr. 11-1301139dresden,dc-versandpoint,carrierastr. 11-13,01139,dresden
Packstation 102königsbrücker str. 2101099dresden,links vom postbank finanzcent,königsbrücker str. 21,01099,dresden
Postfiliale 516nürnberger str. 33-3501187dresden,schreiberli am nürnberger ei,nürnberger str. 33-35,01187,dresden
DHL Paketshop 458hoyerswerdaer str. 4001099dresden,schuh-neuber,hoyerswerdaer str. 40,01099,dresden
Postfiliale 409bürgerstr. 4301127dresden,die netten naumänner,bürgerstr. 43,01127,dresden
DHL Paketshop 704louisenstr. 1201099dresden,malkasten,louisenstr. 12,01099,dresden
Packstation 184uhlandstr. 501069dresden,aldi markt,uhlandstr. 5,01069,dresden
Postfiliale bautzner str. 3201099dresden,snick-snack spät shop,bautzner str. 32,01099,dresden
DHL Paketshop 451bautzner str. 32a01099dresden,blumen-werkstatt,bautzner str. 32a,01099,dresden
Postfiliale 453reichenbachstr. 2101069dresden,miss josi,reichenbachstr. 21,01069,dresden
DHL Paketshop 405königsbrücker str. 6201099dresden,rewe nicole labudde ohg,königsbrücker str. 62,01099,dresden
DHL Paketshop 476sternstr. 201139dresden,rewe markt enrico weinert ohg,sternstr. 2,01139,dresden
Postfiliale straßburger platz 101307dresden,presseshop im einkaufzentrum,straßburger platz 1,01307,dresden
DHL Paketshop 456rudolf-leonhard-str. 1201097dresden,zoo-garten-blumen schwerg,rudolf-leonhard-str. 12,01097,dresden
Postfiliale 863bischofsweg 501097dresden,mende bürotechnik,bischofsweg 5,01097,dresden
Packstation 140marschnerstr. 3101307dresden,ecke striesener str.,marschnerstr. 31,01307,dresden
DHL Paketshop hamburger str. 8801157dresden,edeka center scheller,hamburger str. 88,01157,dresden
Packstation 199lommatzscher str. 1c01139dresden,aldi markt,lommatzscher str. 1c,01139,dresden
Packstation 185cossebauder str. 601157dresden,lidl markt,cossebauder str. 6,01157,dresden
DHL Paketshop 741george-bähr-str. 801069dresden,diekopie24.de gmbh,george-bähr-str. 8,01069,dresden
DHL Paketshop 411elisenstr. 2901307dresden,rewe henry mattusch ohg,elisenstr. 29,01307,dresden
Postfiliale 517chemnitzer str. 10501187dresden,post und papeterie,chemnitzer str. 105,01187,dresden
Packstation 126münchner str. 3801187dresden,"konsum, seitenwand links vom",münchner str. 38,01187,dresden
DHL Paketshop 459dreyßigplatz 301139dresden,die beräumer,dreyßigplatz 3,01139,dresden
Packstation 154großenhainer str. 8901127dresden,"star tankstelle, seitenwand",großenhainer str. 89,01127,dresden
Postfiliale 513warthaer str. 801157dresden,lts presseshops,warthaer str. 8,01157,dresden
Packstation 208overbeckstr. 3801139dresden,,overbeckstr. 38,01139,dresden
DHL Paketshop würzburger str. 8101187dresden,modellbahn schildhauer,würzburger str. 81,01187,dresden
Postfiliale 864kesselsdorfer str. 8101159dresden,presse/ lotto/ post,kesselsdorfer str. 81,01159,dresden
Postfiliale 489heidestr. 1-301127dresden,dienstleistungsservice by rossi,heidestr. 1-3,01127,dresden
Packstation 219kesselsdorfer str. 11401159dresden,,kesselsdorfer str. 114,01159,dresden
Postbank Filiale 531gerokstr. 1801307dresden,N/A,gerokstr. 18,01307,dresden
Packstation 135großenhainer str. 119a01127dresden,"edeka markt, zufahrt heidestr",großenhainer str. 119a,01127,dresden
